,Erlotinib,Lapatinib,Nilotinib,Nutlin-3a (-),PD0325901,PHA-665752,PLX-4720,Paclitaxel,Palbociclib,Selumetinib,Sorafenib,Tanespimycin
0,0.0050930046,0.0004056623,-0.001189674,-0.0001799948,0.00035433777,2.0137428e-05,-0.0005907251,0.00032572358,0.00017408018,4.5307715e-05,-0.0015990485,0.00022544253
1,0.004151022,2.1101612e-06,0.0019124356,-0.0001326605,0.00049672194,4.5164234e-05,0.00072470127,0.00015793972,-0.00014706742,0.00011083525,0.004171777,6.572183e-05
2,0.003201959,0.00021618947,0.00037444048,-1.1765118e-05,0.0001888031,6.6840716e-05,0.00026445126,-4.3491702e-05,-5.6748246e-05,0.00011700938,-0.0020895754,6.3641135e-05
3,-0.0032347098,-0.00068635994,0.0023398884,0.0011402816,1.1017645e-05,7.9541875e-05,-1.9458887e-06,9.0710244e-05,-7.9429e-05,6.93059e-05,0.0019108676,0.00015257297
4,0.0012627756,0.00012788181,-0.00042710177,-0.00020305184,-9.926336e-05,-1.7193292e-05,0.00027933912,3.6538684e-05,-4.0807703e-05,6.048784e-05,0.0020758586,3.9434937e-05
5,-0.0045864224,-0.00033613062,0.0017044361,0.000522182,0.0003925518,6.7345856e-05,0.0010207802,-4.5545883e-05,-5.463042e-05,1.7215846e-06,-0.0019470691,-3.4055196e-05
6,-0.00091407134,0.0005801472,-0.00075397186,-6.701167e-05,-2.5518725e-06,-4.4888253e-05,0.00026521814,-0.00011706308,5.9217014e-05,-7.057924e-06,0.0007562995,-9.913413e-06
7,-0.005043906,-0.00048909074,-0.0010661859,-0.0010819817,-0.0012825276,-2.25441e-05,0.0005215776,-1.7635786e-05,0.00027241628,-0.00019571437,0.0031273041,-7.710615e-05
8,-0.0023612708,-0.00016703158,0.0023376418,0.0006967564,-0.00054110895,6.404906e-05,-0.001098961,3.7219885e-05,-2.3850513e-05,-6.3214524e-05,-0.0008226501,2.3980783e-06
9,-0.007701603,0.00093779434,-0.00019798447,0.00031271364,-6.56512e-05,3.004944e-05,-0.00073541736,-5.055815e-05,-0.00010037299,-7.5526887e-06,-0.001672687,-2.7103682e-05
10,-0.003841671,0.0011938217,-0.00045484878,0.00053809583,-0.00091824733,1.1543115e-05,-0.0009095746,-4.780841e-05,1.4325204e-05,-1.20565865e-05,0.0063464823,-8.107925e-05
11,0.00040769344,-0.00047996323,-0.00084144995,0.00054996886,0.00034306664,0.000121489524,-0.00019791121,-6.973408e-05,2.285021e-05,-0.00010566872,0.0037682084,0.00011470248
12,-0.0010726936,0.00018397141,-0.002059422,-6.513989e-05,-0.0002768633,1.6021197e-05,0.00041268984,2.8503155e-05,7.527536e-05,-4.336912e-05,-0.0028562963,-3.8399176e-05
13,-0.0031148943,0.00027710726,-0.001343085,0.00016664257,-0.00014285506,-0.00020698672,-0.00056414754,-0.0003618585,-1.4144019e-05,-0.00021753051,-0.002473522,-0.00020902701
14,-0.008858233,-9.660361e-05,0.0011939,0.00029355093,0.0009444007,2.1238748e-05,0.00053591287,-0.00013671421,8.89315e-05,1.5866042e-05,0.0021549573,-6.190941e-05
15,0.00048009018,-0.0005131243,-0.0027357822,0.0007913392,0.0009515158,6.886784e-05,-0.000854969,-5.890948e-05,0.0001245369,4.606744e-05,-0.0029065083,-2.0304733e-05
16,-0.00249643,-0.00055795716,0.0012106487,0.00051924953,0.000116740375,5.6406665e-05,-0.00039118805,-2.739532e-05,6.555058e-05,3.2767446e-05,-0.0028815952,-1.8863555e-05
17,0.0057822457,0.00045850893,0.0010219697,-0.0003199937,-4.6730605e-05,6.3862485e-06,0.00068493263,-1.9582503e-05,0.00014747116,-5.5045866e-06,0.0011504353,6.798663e-05
18,-0.0010183647,-0.00010409199,0.0009268047,-0.0003693448,-4.814482e-05,7.793036e-06,-0.00072702725,4.5304518e-05,-5.073447e-05,2.4278732e-05,0.0017847441,2.1826681e-06
19,-0.0010616165,0.00016544883,0.00023705387,-0.0004448945,0.00022944616,5.6718975e-05,0.00030388913,-1.46359125e-05,3.8682647e-05,0.00011447134,-0.00016677771,0.0001764738
20,-0.005816814,-0.001109824,-0.0031656676,0.0004984751,-0.00047171756,4.3146974e-05,0.00046622177,9.589507e-05,-3.8724636e-05,2.3223187e-05,0.00528625,5.9265316e-05
21,-0.0015711518,0.00070204656,0.0019928913,0.00036586198,-0.0007814931,5.4316683e-05,-0.0002478051,-5.3989934e-05,8.307289e-05,4.4309756e-05,-0.003514561,-2.9383898e-05
22,0.00052748655,-0.00012711523,0.0015757276,0.00014884047,0.00016073437,9.433959e-06,0.0007911255,-6.418776e-05,-0.00011877133,-6.597942e-05,0.00059569255,-4.4165194e-08
23,-0.0034984197,-0.00079660804,0.004204103,-0.0005663719,2.603776e-05,1.010641e-05,-0.00020327551,-0.000108936605,0.00039165578,0.0001682388,0.0013279361,-0.00017098557
24,0.00019760153,-0.00021108854,-0.00077350554,-0.00029388815,-0.00027993566,1.1981608e-05,3.486277e-06,-3.5839846e-06,3.665445e-05,-1.915152e-05,-0.0003067338,-2.828554e-05
25,0.0017690972,0.00043705068,-0.0011433088,-0.0004050987,-9.902276e-05,0.00010012877,-0.00019258201,0.0001402862,9.490307e-05,7.819075e-05,0.00026333414,0.00032134965
26,0.0058444794,0.00048010016,0.0013488346,-0.00012499263,-0.00045608147,5.4521897e-05,0.001849625,-6.9020156e-05,-0.00017700612,2.848424e-05,0.0014102552,-1.1641524e-05
