,ACCURACY,AUCROC,AUCPR,N_ESTIMTORS,MAX_DEPTH
0,0.6017467248908297,0.5071587832457398,0.5995022527513232,41,3
1,0.5921397379912664,0.4889257378609966,0.5896581208613071,100,3
2,0.5956331877729257,0.5335151802656547,0.5990601555810376,53,3
3,0.5903930131004367,0.5143597800471328,0.5787551853381654,45,3
4,0.5804195804195804,0.49499777010934376,0.5808766330279157,21,3
